Date,Price,Open,High,Low,Vol.,Change %,Close,Volume
2015-12-18,64.4,65.97,65.97,64.4,23.82M,-2.84%,64.4,
2015-12-17,66.28,67.9,68.0,66.08,18.12M,-1.85%,66.28,
2015-12-16,67.53,66.91,67.74,65.91,21.72M,2.16%,67.53,
2015-12-15,66.1,65.07,66.65,65.07,18.13M,2.85%,66.1,
2015-12-14,64.27,64.23,64.75,63.6,17.64M,0.31%,64.27,
2015-12-11,64.07,64.8,65.16,63.51,17.89M,-2.35%,64.07,
2015-12-10,65.61,65.54,66.5,65.08,12.84M,0.23%,65.61,
2015-12-09,65.46,65.61,66.58,65.04,16.77M,-0.76%,65.46,
2015-12-08,65.96,66.25,66.96,65.7,13.08M,-1.55%,65.96,
2015-12-07,67.0,67.66,67.75,66.4,11.69M,-1.31%,67.0,
2015-12-04,67.89,66.1,68.0,66.03,17.79M,3.18%,67.89,
2015-12-03,65.8,66.83,67.03,65.58,14.63M,-1.29%,65.8,
2015-12-02,66.66,67.83,67.88,66.48,13.44M,-1.41%,66.66,
2015-12-01,67.61,67.34,67.83,66.99,12.71M,1.39%,67.61,
2015-11-30,66.68,67.28,67.52,66.68,15.15M,-0.73%,66.68,
2015-11-27,67.17,67.0,67.33,66.64,4.05M,0.46%,67.17,
2015-11-25,66.86,66.93,67.12,66.55,7.77M,0.12%,66.86,
2015-11-24,66.78,66.17,67.14,66.04,10.91M,-0.15%,66.78,
2015-11-23,66.88,67.31,67.58,66.78,11.34M,-0.98%,66.88,
2015-11-20,67.54,67.99,68.11,67.38,11.21M,-0.18%,67.54,
2015-11-19,67.66,67.58,67.82,67.04,12.84M,0.31%,67.66,
2015-11-18,67.45,66.48,67.55,66.37,12.91M,2.00%,67.45,
2015-11-17,66.13,66.67,66.74,65.89,12.35M,-0.57%,66.13,
2015-11-16,66.51,65.46,66.58,65.17,11.04M,1.45%,66.51,
2015-11-13,65.56,65.84,66.17,65.23,11.84M,-0.67%,65.56,
2015-11-12,66.0,66.86,66.9,65.95,13.58M,-2.00%,66.0,
2015-11-11,67.35,68.1,68.17,67.25,8.51M,-0.49%,67.35,
2015-11-10,67.68,67.19,67.85,66.93,13.24M,0.43%,67.68,
2015-11-09,67.39,68.7,68.72,67.08,17.14M,-1.56%,67.39,
2015-11-06,68.46,68.37,69.03,68.1,23.26M,3.04%,68.46,
2015-11-05,66.44,65.79,66.67,65.75,12.72M,0.90%,66.44,
2015-11-04,65.85,66.01,66.15,65.63,11.39M,0.11%,65.85,
2015-11-03,65.78,65.29,66.1,65.17,11.52M,0.37%,65.78,
2015-11-02,65.54,64.45,65.75,64.39,15.25M,2.01%,65.54,
2015-10-30,64.25,65.3,65.34,64.13,15.73M,-1.47%,64.25,
2015-10-29,65.21,65.26,65.83,64.88,12.75M,-0.44%,65.21,
2015-10-28,65.5,63.7,65.74,63.69,17.96M,2.92%,65.5,
2015-10-27,63.64,63.53,63.86,63.31,8.83M,-0.41%,63.64,
2015-10-26,63.9,63.84,63.99,63.41,13.88M,0.05%,63.9,
2015-10-23,63.87,63.63,64.19,63.5,16.99M,1.08%,63.87,
2015-10-22,63.19,62.42,63.58,62.42,15.30M,1.82%,63.19,
2015-10-21,62.06,62.88,62.96,62.05,12.17M,-0.74%,62.06,
2015-10-20,62.52,62.36,62.81,62.08,11.55M,0.48%,62.52,
