"Date","Price","Open","High","Low","Vol.","Change %"
"12/18/2015","64.40","65.97","65.97","64.40","23.82M","-2.84%"
"12/17/2015","66.28","67.90","68.00","66.08","18.12M","-1.85%"
"12/16/2015","67.53","66.91","67.74","65.91","21.72M","2.16%"
"12/15/2015","66.10","65.07","66.65","65.07","18.13M","2.85%"
"12/14/2015","64.27","64.23","64.75","63.60","17.64M","0.31%"
"12/11/2015","64.07","64.80","65.16","63.51","17.89M","-2.35%"
"12/10/2015","65.61","65.54","66.50","65.08","12.84M","0.23%"
"12/09/2015","65.46","65.61","66.58","65.04","16.77M","-0.76%"
"12/08/2015","65.96","66.25","66.96","65.70","13.08M","-1.55%"
"12/07/2015","67.00","67.66","67.75","66.40","11.69M","-1.31%"
"12/04/2015","67.89","66.10","68.00","66.03","17.79M","3.18%"
"12/03/2015","65.80","66.83","67.03","65.58","14.63M","-1.29%"
"12/02/2015","66.66","67.83","67.88","66.48","13.44M","-1.41%"
"12/01/2015","67.61","67.34","67.83","66.99","12.71M","1.39%"
"11/30/2015","66.68","67.28","67.52","66.68","15.15M","-0.73%"
"11/27/2015","67.17","67.00","67.33","66.64","4.05M","0.46%"
"11/25/2015","66.86","66.93","67.12","66.55","7.77M","0.12%"
"11/24/2015","66.78","66.17","67.14","66.04","10.91M","-0.15%"
"11/23/2015","66.88","67.31","67.58","66.78","11.34M","-0.98%"
"11/20/2015","67.54","67.99","68.11","67.38","11.21M","-0.18%"
"11/19/2015","67.66","67.58","67.82","67.04","12.84M","0.31%"
"11/18/2015","67.45","66.48","67.55","66.37","12.91M","2.00%"
"11/17/2015","66.13","66.67","66.74","65.89","12.35M","-0.57%"
"11/16/2015","66.51","65.46","66.58","65.17","11.04M","1.45%"
"11/13/2015","65.56","65.84","66.17","65.23","11.84M","-0.67%"
"11/12/2015","66.00","66.86","66.90","65.95","13.58M","-2.00%"
"11/11/2015","67.35","68.10","68.17","67.25","8.51M","-0.49%"
"11/10/2015","67.68","67.19","67.85","66.93","13.24M","0.43%"
"11/09/2015","67.39","68.70","68.72","67.08","17.14M","-1.56%"
"11/06/2015","68.46","68.37","69.03","68.10","23.26M","3.04%"
"11/05/2015","66.44","65.79","66.67","65.75","12.72M","0.90%"
"11/04/2015","65.85","66.01","66.15","65.63","11.39M","0.11%"
"11/03/2015","65.78","65.29","66.10","65.17","11.52M","0.37%"
"11/02/2015","65.54","64.45","65.75","64.39","15.25M","2.01%"
"10/30/2015","64.25","65.30","65.34","64.13","15.73M","-1.47%"
"10/29/2015","65.21","65.26","65.83","64.88","12.75M","-0.44%"
"10/28/2015","65.50","63.70","65.74","63.69","17.96M","2.92%"
"10/27/2015","63.64","63.53","63.86","63.31","8.83M","-0.41%"
"10/26/2015","63.90","63.84","63.99","63.41","13.88M","0.05%"
"10/23/2015","63.87","63.63","64.19","63.50","16.99M","1.08%"
"10/22/2015","63.19","62.42","63.58","62.42","15.30M","1.82%"
"10/21/2015","62.06","62.88","62.96","62.05","12.17M","-0.74%"
"10/20/2015","62.52","62.36","62.81","62.08","11.55M","0.48%"
"10/19/2015","62.22","62.00","62.77","61.91","14.51M","-0.34%"
"10/16/2015","62.43","62.43","62.65","62.09","17.46M","0.87%"
"10/15/2015","61.89","60.47","61.96","60.10","18.15M","3.17%"
"10/14/2015","59.99","60.76","60.97","59.54","28.99M","-2.53%"
"10/13/2015","61.55","61.39","62.16","61.31","15.62M","-0.28%"
"10/12/2015","61.72","61.84","62.01","61.40","10.86M","-0.34%"
